hour	count
2017-02-27T19	1
2017-02-28T07	1
2017-03-01T07	2
2017-03-01T13	1
2017-03-01T18	1
2017-03-02T07	1
2017-03-03T15	1
2017-03-03T18	1
2017-03-04T11	1
2017-03-04T12	1
2017-03-04T15	2
2017-03-04T17	1
2017-03-04T19	3
2017-03-04T20	2
2017-03-05T07	1
2017-03-05T10	1
2017-03-05T21	1
2017-03-06T09	1
2017-03-06T12	1
2017-03-06T13	1
2017-03-06T22	1
2017-03-07T07	1
2017-03-07T11	1
2017-03-09T19	1
2017-03-11T07	1
2017-03-11T13	1
2017-03-11T16	1
2017-03-11T21	1
2017-03-12T07	1
2017-03-12T09	1
2017-03-12T10	2
2017-03-12T13	1
2017-03-12T20	1
2017-03-13T10	1
2017-03-13T20	1
2017-03-14T16	1
2017-03-14T23	1
2017-03-15T07	1
2017-03-15T12	1
2017-03-15T13	1
2017-03-15T17	1
2017-03-15T21	2
2017-03-16T06	1
2017-03-16T17	1
2017-03-16T20	1
2017-03-17T17	1
2017-03-18T18	1
2017-03-19T04	1
2017-03-19T07	1
2017-03-19T09	1
2017-03-19T15	1
2017-03-19T19	1
2017-03-19T21	1
2017-03-20T04	1
2017-03-20T07	1
2017-03-23T13	1
2017-03-23T14	1
2017-03-24T06	1
2017-03-24T21	2
2017-03-25T09	1
2017-03-26T09	1
2017-03-26T16	1
2017-03-26T17	1
2017-03-27T06	1
2017-03-27T09	1
2017-03-27T16	1
2017-03-27T18	2
2017-03-28T13	1
2017-03-28T16	1
2017-03-28T19	2
2017-03-28T20	1
2017-03-28T21	1
2017-03-28T22	1
2017-03-29T10	1
2017-03-29T13	1
2017-03-29T18	2
2017-03-29T21	1
2017-03-30T11	1
2017-03-30T12	1
2017-03-31T10	2
2017-03-31T15	1
2017-03-31T19	2
2017-03-31T22	1
2017-04-01T06	1
2017-04-02T19	1
2017-04-03T14	1
2017-04-03T23	1
2017-04-04T06	1
2017-04-04T14	1
2017-04-05T11	1
2017-04-07T13	1
2017-04-07T14	1
2017-04-08T07	1
2017-04-08T09	1
2017-04-09T08	2
2017-04-09T11	1
2017-04-09T20	4
2017-04-10T08	1
2017-04-10T13	1
2017-04-10T15	2
2017-04-10T16	1
2017-04-10T18	1
2017-04-11T06	1
2017-04-11T09	1
2017-04-11T12	1
2017-04-11T18	1
2017-04-12T17	1
2017-04-12T20	1
2017-04-12T21	2
2017-04-12T22	1
2017-04-13T15	1
2017-04-14T06	1
2017-04-14T16	1
2017-04-15T07	1
2017-04-15T11	1
2017-04-15T13	1
2017-04-16T00	1
2017-04-18T13	1
2017-04-18T14	1
2017-04-18T18	1
2017-04-18T21	2
2017-04-19T07	1
2017-04-19T11	1
2017-04-19T22	1
2017-04-20T00	1
2017-04-20T20	1
2017-04-20T22	1
2017-04-21T07	1
2017-04-21T10	1
2017-04-21T11	1
2017-04-21T13	1
2017-04-21T14	1
2017-04-21T15	1
2017-04-22T19	1
2017-04-23T07	1
2017-04-23T09	1
2017-04-23T14	1
2017-04-23T20	1
2017-04-24T01	1
2017-04-24T06	1
2017-04-24T09	1
2017-04-24T18	1
2017-04-25T05	1
2017-04-25T16	1
2017-04-26T21	1
2017-04-27T09	1
2017-04-27T13	1
2017-04-27T19	2
2017-04-28T06	1
2017-04-28T22	1
2017-04-29T09	1
2017-04-29T14	1
2017-04-29T17	1
2017-04-29T19	1
2017-04-29T21	1
2017-04-30T09	2
2017-04-30T10	1
2017-04-30T13	1
2017-04-30T17	1
2017-05-01T05	1
2017-05-01T06	3
2017-05-01T09	1
2017-05-01T14	1
2017-05-01T15	1
2017-05-01T20	1
2017-05-02T06	1
2017-05-02T11	2
2017-05-02T19	1
2017-05-02T20	1
2017-05-02T21	1
2017-05-03T06	1
2017-05-03T17	1
2017-05-04T06	2
2017-05-05T09	1
2017-05-05T14	1
2017-05-06T11	1
2017-05-06T13	1
2017-05-07T10	1
2017-05-07T12	1
2017-05-07T19	2
2017-05-08T06	2
2017-05-08T11	1
2017-05-08T15	3
